id,session_id,conversation_metadata.total_messages,conversation_metadata.completion_reason,conversation_metadata.conversation_duration_seconds,total_messages,last_updated,created_at,updated_at
1,sess_05b57d07,16,in_progress,,16,2025-09-01T04:43:11.783Z,2025-09-01T04:43:11.783Z,2025-09-01T04:43:11.783Z
2,sess_07754f83,4,in_progress,,4,2025-09-02T01:25:28.814Z,2025-09-02T01:25:28.814Z,2025-09-02T01:25:28.814Z
3,sess_08ab0bd0,4,in_progress,,4,2025-09-30T03:17:31.478Z,2025-09-30T03:17:31.478Z,2025-09-30T03:17:31.478Z
4,sess_09fd4196,4,in_progress,,4,2025-09-25T01:44:58.029Z,2025-09-25T01:44:58.029Z,2025-09-25T01:44:58.029Z
5,sess_0ac49810,10,in_progress,,10,2025-09-01T04:37:16.388Z,2025-09-01T04:37:16.388Z,2025-09-01T04:37:16.388Z
6,sess_0ae2063f,2,in_progress,,2,2025-09-04T22:36:25.077Z,2025-09-04T22:36:25.077Z,2025-09-04T22:36:25.077Z
7,sess_143bc88b,4,in_progress,,4,2025-08-29T06:16:17.517Z,2025-08-29T06:16:17.517Z,2025-08-29T06:16:17.517Z
8,sess_192baba0,6,in_progress,,6,2025-09-04T06:06:21.498Z,2025-09-04T06:06:21.498Z,2025-09-04T06:06:21.498Z
9,sess_1cb6e317,2,in_progress,,2,2025-09-02T05:47:16.942Z,2025-09-02T05:47:16.942Z,2025-09-02T05:47:16.942Z
10,sess_243f12a0,4,in_progress,,4,2025-09-02T05:47:24.827Z,2025-09-02T05:47:24.827Z,2025-09-02T05:47:24.827Z
11,sess_26d4ba88,12,in_progress,,12,2025-09-01T01:30:25.760Z,2025-09-01T01:30:25.760Z,2025-09-01T01:30:25.760Z
12,sess_29feaa04,2,in_progress,,2,2025-09-03T02:46:35.315Z,2025-09-03T02:46:35.315Z,2025-09-03T02:46:35.315Z
13,sess_2c6ddf7a,4,in_progress,,4,2025-09-04T06:03:15.865Z,2025-09-04T06:03:15.865Z,2025-09-04T06:03:15.865Z
