has_exit_survey,participant_id,post_chat.chatbot_summary_accuracy,post_chat.final_belief_confidence,prolific_id,timestamps.completed,timestamps.started
false,06a5069b-7131-4194-9b9c-93e25dbdd92c,,,3334343434,,2025-09-17T04:03:48.694Z
false,077b2c4b-33a2-4c4e-a7db-3189731ce966,,,TEST123456,,2025-09-04T22:45:57.180Z
false,089f3e41-1a14-497b-8975-e5807dd2c350,,,edededed,,2025-09-16T01:29:54.769Z
false,0b929b3f-396f-444b-baa3-ddcf73741a74,,,edededed,,2025-09-02T05:47:12.186Z
false,0d36e182-2fbe-4613-abb1-683e4a13f3f6,,,3334343434,,2025-09-16T01:31:19.613Z
false,0f1d6ac2-f4f5-4ae9-aa71-b876c7543831,,,,,2025-09-04T05:17:50.483Z
true,108ddd43-9eca-450b-8f43-5c7be5a61101,,64,ededededed,2025-09-17T04:14:04.650Z,2025-09-17T04:13:50.612Z
false,10a27158-376d-4b83-8f36-844696aa33d3,,,edededed,,2025-08-29T05:51:24.556Z
false,127216e2-832a-4923-88ee-1f2d55dcc714,,,12345667,,2025-09-04T05:59:18.897Z
false,190dc9d9-a246-4e80-904a-179df4bd2e22,,,edededed,,2025-09-05T01:51:30.014Z
false,1d8e4e7d-9e8e-4eec-b1d3-33e908f1ee59,,,3334343434,,2025-09-16T01:27:59.051Z
true,1f01b9f3-ab4e-4539-83fc-be8b16993834,,93,3334343434,2025-09-30T03:17:43.494Z,2025-09-30T03:17:30.417Z
false,1fd5c8af-5c64-4041-9c99-adaeba9d1e49,,,,,2025-08-29T05:42:05.228Z
true,21c79531-32e1-4ff7-8215-252532b9baea,,73,3334343434,2025-09-17T00:48:58.395Z,2025-09-17T00:46:34.737Z
false,285aac11-4c23-408e-b90a-25fe6bb9937b,,,3334343434,,2025-09-16T00:53:51.945Z
true,2aaeb2df-06e7-4505-8ed4-344ae50ec0f6,,78,23423432432,2025-09-11T01:06:28.356Z,2025-09-11T01:06:16.650Z
true,2ba270d2-c0ce-42ce-8f03-67f80381084d,,65,23423432432,2025-09-22T05:24:14.495Z,2025-09-22T05:23:50.833Z
true,2dd85cf8-341d-4800-9589-5057fa3a058b,,,687687878,2025-09-02T07:18:30.435Z,2025-09-02T07:16:03.322Z
false,2e4c7343-cde0-4831-8e23-781e3caac0f1,,,TESTFIX123,,2025-08-29T06:24:44.826Z
false,2ea760b1-c792-49b0-a225-71d3d6b84769,,,edededed,,2025-09-02T05:48:21.106Z
true,3034c06f-810e-47e3-ba1c-2b8f59e780d3,,97,3334343434,2025-09-25T01:45:41.342Z,2025-09-25T01:44:50.532Z
true,30be5f9c-4681-41c0-abc2-d861ed4ee8b6,,100,1234432222,2025-09-05T04:24:35.188Z,2025-09-05T04:24:14.873Z
false,32830ecb-032b-4fdc-a68f-6e1252c88b0b,,,3334343434,,2025-09-16T01:01:24.862Z
false,3678e7e7-dee8-4599-92fc-19e4191781e4,,,TEST67890,,2025-08-29T06:08:53.605Z
false,3a9663d2-f1d4-49c8-a65f-46f5db531a65,,,TEST12345,,2025-08-29T06:04:11.803Z
true,3b1ba6c5-f65d-4b8f-870d-d4c6f668a059,,,edededed,2025-09-03T03:34:29.493Z,2025-09-03T03:16:57.725Z
false,3cb9cfe1-14e1-494b-bd1c-23a1b37043da,,,3334343434,,2025-09-16T01:09:56.172Z
false,3e689bda-4ac5-4e7c-a1ee-2b1decda0f1c,,,3e234234324,,2025-09-04T06:03:15.676Z
false,41ca631b-9533-4db6-a78a-b7da994e9cd2,,,,,2025-08-29T05:42:38.640Z
true,4644d6c1-303d-42a5-a18a-ae0e442bf61b,,76,3334343434,2025-09-30T03:01:00.886Z,2025-09-30T03:00:51.997Z
true,4a45d70c-c72e-4f22-9ac3-1c0522104083,,100,edededed,2025-09-05T04:53:28.623Z,2025-09-05T04:53:05.025Z
true,4a765763-48f3-4f50-be3b-138b3e1343f1,,68,ihgiygiygg,2025-09-11T01:46:45.186Z,2025-09-11T01:40:11.093Z
true,4c09b831-13a1-448b-970f-54fe4446ad68,,72,23423432432,2025-09-17T04:35:15.406Z,2025-09-17T04:34:56.457Z
true,515437d5-e614-4bb0-9d43-3f16174a789b,,90,123456786,2025-09-04T22:55:48.515Z,2025-09-04T22:55:37.808Z
false,529c7c11-ea77-4829-96fe-8a76d91ba428,,,edededed,,2025-09-01T23:48:32.939Z
false,53abf2d9-ddf2-430c-b1f4-3f636da66071,,,edededed,,2025-09-01T01:37:15.247Z
false,54ea2164-9741-4378-8b84-87beb1f2a4ff,,,crcrfrfr,,2025-08-28T01:10:40.986Z
