id,participant_id,prolific_id,timestamp_joined,classification,classification_score,survey_responses.confidence_level,survey_responses.views_changed,survey_responses.consent_anonymised,survey_responses.consent_given,created_at,updated_at,survey_responses.age,survey_responses.gender,survey_responses.political_affiliation,survey_responses.education,survey_responses.change_direction,survey_responses.prior_climate_belief,survey_responses.current_climate_belief
1,06a5069b-7131-4194-9b9c-93e25dbdd92c,3334343434,2025-09-17T04:03:48.694Z,neutral,6,64,Yes,true,true,2025-09-17T04:03:48.694Z,2025-09-17T04:03:48.694Z,,,,,,,
2,077b2c4b-33a2-4c4e-a7db-3189731ce966,TEST123456,2025-09-04T22:45:57.180Z,neutral,6,50,Yes,true,true,2025-09-04T22:45:57.180Z,2025-09-04T22:45:57.180Z,30,Man,4,,,,
3,089f3e41-1a14-497b-8975-e5807dd2c350,edededed,2025-09-16T01:29:54.769Z,neutral,4,,Yes,true,true,2025-09-16T01:29:54.769Z,2025-09-16T01:29:54.769Z,45,Man,,Bachelor's degree,,,
4,0b929b3f-396f-444b-baa3-ddcf73741a74,edededed,2025-09-02T05:47:12.186Z,pro_climate,6,7,Yes,true,true,2025-09-02T05:47:12.186Z,2025-09-02T05:47:12.186Z,,,,,From climate sceptic to climate believer,,
5,0d36e182-2fbe-4613-abb1-683e4a13f3f6,3334343434,2025-09-16T01:31:19.613Z,neutral,6,59,Yes,true,true,2025-09-16T01:31:19.613Z,2025-09-16T01:31:19.613Z,34,Woman,,High school diploma or equivalent,,,
6,0f1d6ac2-f4f5-4ae9-aa71-b876c7543831,,2025-09-04T05:17:50.483Z,neutral,4,,,,,2025-09-04T05:17:50.483Z,2025-09-04T05:17:50.483Z,,,,,,,
7,108ddd43-9eca-450b-8f43-5c7be5a61101,ededededed,2025-09-17T04:13:50.612Z,neutral,6,65,Yes,true,true,2025-09-17T04:13:50.612Z,2025-09-17T04:13:50.612Z,43,Woman,,"Some college, no degree",,,
8,10a27158-376d-4b83-8f36-844696aa33d3,edededed,2025-08-29T05:51:24.556Z,pro_climate,4,,Yes,true,true,2025-08-29T05:51:24.556Z,2025-08-29T05:51:24.556Z,,Man,,,From climate sceptic to climate believer,,
9,127216e2-832a-4923-88ee-1f2d55dcc714,12345667,2025-09-04T05:59:18.897Z,neutral,6,50,Yes,true,true,2025-09-04T05:59:18.897Z,2025-09-04T05:59:18.897Z,,,,,,,
10,190dc9d9-a246-4e80-904a-179df4bd2e22,edededed,2025-09-05T01:51:30.014Z,neutral,6,100,Yes,true,true,2025-09-05T01:51:30.014Z,2025-09-05T01:51:30.014Z,30,Man,6,High school diploma or equivalent,,,
