id,session_id,timestamp_start,timestamp_end,participants,pairing_time_seconds,conversation_duration_seconds,status,completion_status,message_count,connected_participants,participant_names.e9cddf33-3c34-4057-b8ff-4dc2b4702235,created_at,updated_at,participant_names.ab647845-4fa4-443a-ad46-a21bff2d0e52,participant_names.1f01b9f3-ab4e-4539-83fc-be8b16993834,participant_names.3034c06f-810e-47e3-ba1c-2b8f59e780d3,participant_names.bf64ced7-420f-49b3-a173-bc26617c17c9,participant_names.9dcc194d-dbbe-49a5-8847-d83a5f615686,participant_names.9a9a3594-7631-4ea3-9b41-7dad9da64d71,participant_names.d187a367-2db6-4d03-b4be-7aebe3b3ffb1,participant_names.0b929b3f-396f-444b-baa3-ddcf73741a74,participant_names.a25c03c1-b61f-4a67-8117-252a87c767c0,participant_names.b5556be4-7e3b-443a-8956-5d08ffc8528a,participant_names.3e689bda-4ac5-4e7c-a1ee-2b1decda0f1c,participant_names.6258ec54-28aa-4852-9506-ed3abff52e20,participant_names.d794178a-6563-486a-bb38-4988618806ce,participant_names.67e3605d-af2c-4226-8664-60fa4cf3eb5f,participant_names.529c7c11-ea77-4829-96fe-8a76d91ba428,participant_names.e0a677fc-a9ed-43f5-954f-e7053b69d86f,participant_names.127216e2-832a-4923-88ee-1f2d55dcc714,participant_names.97124b74-2bb5-4eac-8265-2c18beaadc2c,participant_names.86e79db7-e5aa-4f1c-91e2-460022449dfe,participant_names.e54a4d85-415a-42dd-ba94-67d1d6e4c60f,participant_names.acc190bb-afa3-4f5f-ad88-c6861c7c0c92,participant_names.a51cfc71-b161-4ce6-9a59-14fe8cc640bb,participant_names.c923427d-a0a3-4560-9a26-0fe557935023,participant_names.53abf2d9-ddf2-430c-b1f4-3f636da66071,participant_names.bafbd953-9fe2-4bea-bc0c-c0ec42bf2c8f,participant_names.8015b4ac-2640-4b40-bf0d-06b67bee1364,participant_names.3678e7e7-dee8-4599-92fc-19e4191781e4,participant_names.5bc3b620-1057-4c24-ad61-c9e2f4af254f,participant_names.3cb9cfe1-14e1-494b-bd1c-23a1b37043da,participant_names.fd288cb8-6a1e-462f-a95b-f0743eed0138,participant_names.4a765763-48f3-4f50-be3b-138b3e1343f1,participant_names.6f986d9a-daaa-40f7-a85b-18eff1b1ca3e,participant_names.2dd85cf8-341d-4800-9589-5057fa3a058b,participant_names.e056ad52-b88a-423c-907c-002ea0bbfbbe,participant_names.3a9663d2-f1d4-49c8-a65f-46f5db531a65,participant_names.6a0ebbdb-da3c-4376-8905-7391ae48927e,participant_names.d2ed5fdf-beab-44c6-b2c5-d6d85907ccf4,participant_names.60307e7d-0d34-4c63-90c9-fd4304f5f6ff,participant_names.10a27158-376d-4b83-8f36-844696aa33d3,participant_names.e8201876-0dea-46cf-ae1d-da6ab73f46c0,participant_names.515437d5-e614-4bb0-9d43-3f16174a789b,participant_names.ca3a51de-4e84-4954-8be6-303d11b06ac5,participant_names.65da03ca-6ae9-4702-9704-d1277f8348aa,participant_names.4644d6c1-303d-42a5-a18a-ae0e442bf61b,participant_names.aa158ee0-8109-4221-9af8-2930a80bad9f,participant_names.f163cf0e-113b-4bb4-9e4e-0c78284c4b13,participant_names.ea362dbf-0776-48da-8c82-e3cbf6cf6556,participant_names.2e4c7343-cde0-4831-8e23-781e3caac0f1,participant_names.e83e1d3d-1187-4ac1-b6e9-62b9ceaf5108,participant_names.2ba270d2-c0ce-42ce-8f03-67f80381084d,participant_names.f69a6df3-7d40-4b3e-ae04-6099e6835f0e,participant_names.2aaeb2df-06e7-4505-8ed4-344ae50ec0f6,participant_names.94a5b6c3-9c8e-4eab-8766-2161ba226f25,participant_names.cff66acf-9733-41e0-94c9-4140578f52bb,participant_names.1d8e4e7d-9e8e-4eec-b1d3-33e908f1ee59,participant_names.8d186f46-036e-4753-925c-bd3047232ccd,participant_names.2ea760b1-c792-49b0-a225-71d3d6b84769,participant_names.21c79531-32e1-4ff7-8215-252532b9baea,participant_names.c6069851-5124-4716-8342-fc6e379f5ee5,participant_names.57218852-ca1a-4c15-8497-cd3f0b7e6e58,participant_names.3b1ba6c5-f65d-4b8f-870d-d4c6f668a059,participant_names.80ec6b9e-06b7-41f0-95c5-a8978700b883,participant_names.5748dcfb-e576-48ed-b2ea-8b163fc26ad8,participant_names.4c09b831-13a1-448b-970f-54fe4446ad68,participant_names.30be5f9c-4681-41c0-abc2-d861ed4ee8b6,participant_names.9d741132-305a-48f8-bbd2-352a441cdd52,participant_names.0f1d6ac2-f4f5-4ae9-aa71-b876c7543831,participant_names.c62a16ae-7ee1-4520-b868-4f2a0fd51f42,participant_names.ae37e4de-0162-4118-9171-89c504a359d9,participant_names.285aac11-4c23-408e-b90a-25fe6bb9937b,participant_names.f25c8da7-8257-446a-8890-658286ab7272,participant_names.077b2c4b-33a2-4c4e-a7db-3189731ce966,participant_names.c0a5c65a-e14f-4879-ac5d-830ed423d898,participant_names.e489a472-3798-4eb4-a6a9-9e149346888f,participant_names.cae9f48c-a384-4475-9f3f-05d4ee383df5,participant_names.4a45d70c-c72e-4f22-9ac3-1c0522104083,participant_names.65dba151-7796-4dde-8981-a690d6e069bf,participant_names.9a5943c1-23b0-468e-9410-d3d502c5a6da,participant_names.190dc9d9-a246-4e80-904a-179df4bd2e22,participant_names.108ddd43-9eca-450b-8f43-5c7be5a61101,participant_names.6e165fb7-a6d1-4156-a5d2-defea67d2bc9
1,sess_05b57d07,2025-09-01T04:43:11.783Z,,e9cddf33-3c34-4057-b8ff-4dc2b4702235,,,active,in_progress,16,e9cddf33-3c34-4057-b8ff-4dc2b4702235,Participant,2025-09-01T04:43:11.783Z,2025-09-01T04:43:11.783Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sess_07754f83,2025-09-02T01:25:28.814Z,,ab647845-4fa4-443a-ad46-a21bff2d0e52,,,active,in_progress,4,ab647845-4fa4-443a-ad46-a21bff2d0e52,,2025-09-02T01:25:28.814Z,2025-09-02T01:25:28.814Z,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sess_08ab0bd0,2025-09-30T03:17:31.478Z,,1f01b9f3-ab4e-4539-83fc-be8b16993834,,,active,in_progress,4,1f01b9f3-ab4e-4539-83fc-be8b16993834,,2025-09-30T03:17:31.478Z,2025-09-30T03:17:31.478Z,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sess_09fd4196,2025-09-25T01:44:58.029Z,,3034c06f-810e-47e3-ba1c-2b8f59e780d3,,,active,in_progress,4,3034c06f-810e-47e3-ba1c-2b8f59e780d3,,2025-09-25T01:44:58.029Z,2025-09-25T01:44:58.029Z,,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,sess_0ac49810,2025-09-01T04:37:16.388Z,,bf64ced7-420f-49b3-a173-bc26617c17c9,,,active,in_progress,10,bf64ced7-420f-49b3-a173-bc26617c17c9,,2025-09-01T04:37:16.388Z,2025-09-01T04:37:16.388Z,,,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sess_0ae2063f,2025-09-04T22:36:25.077Z,,9dcc194d-dbbe-49a5-8847-d83a5f615686,,,active,in_progress,2,9dcc194d-dbbe-49a5-8847-d83a5f615686,,2025-09-04T22:36:25.077Z,2025-09-04T22:36:25.077Z,,,,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sess_143bc88b,2025-08-29T06:16:17.517Z,,9a9a3594-7631-4ea3-9b41-7dad9da64d71,,,active,in_progress,4,9a9a3594-7631-4ea3-9b41-7dad9da64d71,,2025-08-29T06:16:17.517Z,2025-08-29T06:16:17.517Z,,,,,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,sess_192baba0,2025-09-04T06:06:21.498Z,,d187a367-2db6-4d03-b4be-7aebe3b3ffb1,,,active,in_progress,6,d187a367-2db6-4d03-b4be-7aebe3b3ffb1,,2025-09-04T06:06:21.498Z,2025-09-04T06:06:21.498Z,,,,,,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,sess_1cb6e317,2025-09-02T05:47:16.942Z,,0b929b3f-396f-444b-baa3-ddcf73741a74,,,active,in_progress,2,0b929b3f-396f-444b-baa3-ddcf73741a74,,2025-09-02T05:47:16.942Z,2025-09-02T05:47:16.942Z,,,,,,,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,sess_243f12a0,2025-09-02T05:47:24.827Z,,0b929b3f-396f-444b-baa3-ddcf73741a74,,,active,in_progress,4,0b929b3f-396f-444b-baa3-ddcf73741a74,,2025-09-02T05:47:24.827Z,2025-09-02T05:47:24.827Z,,,,,,,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,sess_26d4ba88,2025-09-01T01:30:25.760Z,,a25c03c1-b61f-4a67-8117-252a87c767c0,,,active,in_progress,12,a25c03c1-b61f-4a67-8117-252a87c767c0,,2025-09-01T01:30:25.760Z,2025-09-01T01:30:25.760Z,,,,,,,,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,sess_29feaa04,2025-09-03T02:46:35.315Z,,b5556be4-7e3b-443a-8956-5d08ffc8528a,,,active,in_progress,2,b5556be4-7e3b-443a-8956-5d08ffc8528a,,2025-09-03T02:46:35.315Z,2025-09-03T02:46:35.315Z,,,,,,,,,,Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
